Using device: cuda
M=1 detected: Skipping optimization and uniformization.
-------------------- Summary M=1 --------------------
  Condition: Initial: 1.00 | Optimized: 1.00 | Uniform: 1.0000
  Density:   Initial: 0.1410 | Optimized: 0.1410 | Uniform: 0.1410

Starting Optimization M=2 | Initial Cond: 2.81 | Initial Density: 0.1329
Iter: 1960 | Dens: 0.2160 | Best Dens: 0.2169 | Status: 5/2000
Iter: 1980 | Dens: 0.2159 | Best Dens: 0.2169 | Status: 25/2000
Iter: 2000 | Dens: 0.2176 | Best Dens: 0.2176 | Status: 0/2000
Iter: 2020 | Dens: 0.2175 | Best Dens: 0.2181 | Status: 3/2000
Iter: 2040 | Dens: 0.2179 | Best Dens: 0.2182 | Status: 1/2000
Iter: 2060 | Dens: 0.2174 | Best Dens: 0.2185 | Status: 1/2000
Iter: 2080 | Dens: 0.2186 | Best Dens: 0.2188 | Status: 10/2000
Iter: 2100 | Dens: 0.2187 | Best Dens: 0.2190 | Status: 6/2000
Iter: 2120 | Dens: 0.2193 | Best Dens: 0.2197 | Status: 2/2000
Iter: 2140 | Dens: 0.2188 | Best Dens: 0.2198 | Status: 8/2000
Iter: 2160 | Dens: 0.2194 | Best Dens: 0.2198 | Status: 28/2000
Iter: 2180 | Dens: 0.2190 | Best Dens: 0.2200 | Status: 5/2000
Iter: 2200 | Dens: 0.2202 | Best Dens: 0.2202 | Status: 0/2000
Iter: 2220 | Dens: 0.2202 | Best Dens: 0.2202 | Status: 20/2000
Iter: 2240 | Dens: 0.2195 | Best Dens: 0.2204 | Status: 4/2000
Iter: 2260 | Dens: 0.2203 | Best Dens: 0.2208 | Status: 5/2000
Iter: 2280 | Dens: 0.2204 | Best Dens: 0.2208 | Status: 13/2000
Iter: 2300 | Dens: 0.2197 | Best Dens: 0.2208 | Status: 33/2000
Iter: 2320 | Dens: 0.2210 | Best Dens: 0.2212 | Status: 2/2000
Iter: 2340 | Dens: 0.2208 | Best Dens: 0.2215 | Status: 3/2000
Iter: 2360 | Dens: 0.2212 | Best Dens: 0.2218 | Status: 5/2000
Iter: 2380 | Dens: 0.2222 | Best Dens: 0.2222 | Status: 10/2000
Iter: 2400 | Dens: 0.2225 | Best Dens: 0.2225 | Status: 0/2000
Iter: 2420 | Dens: 0.2225 | Best Dens: 0.2228 | Status: 6/2000
Iter: 2440 | Dens: 0.2224 | Best Dens: 0.2231 | Status: 1/2000
Iter: 2460 | Dens: 0.2223 | Best Dens: 0.2231 | Status: 21/2000
qt.qpa.window: SetProcessDpiAwarenessContext() failed: The operation completed successfully.
Qt's default DPI awareness context is DPI_AWARENESS_CONTEXT_PER_MONITOR_AWARE_V2. If you know what you are doing, you can overwrite this default using qt.conf (https://doc.qt.io/qt-6/highdpi.html#configuring-windows).
